time,open,high,low,close
2021-04-02T16:20:00Z,59352,59372,59253,59372
2021-04-02T16:25:00Z,59372,59374,59296,59321
2021-04-02T16:30:00Z,59321,59322,59262,59321
2021-04-02T16:35:00Z,59313,59333,59273.70533567,59333
2021-04-02T16:40:00Z,59333,59439,59332,59362
2021-04-02T16:45:00Z,59362,59362,59299,59301.11922516
2021-04-02T16:50:00Z,59301.11922516,59301.11922516,59209,59215
2021-04-02T16:55:00Z,59209,59209,59166,59200
2021-04-02T17:00:00Z,59230.8923452,59240,59177,59227.36389649
2021-04-02T17:05:00Z,59227.36389649,59243,59095,59101
2021-04-02T17:10:00Z,59101,59191,59082,59101.40338913
2021-04-02T17:15:00Z,59101,59137,59082,59082
2021-04-02T17:20:00Z,59082.18829275,59133,59077,59114
2021-04-02T17:25:00Z,59114,59184,59108.19218804,59108.19218804
2021-04-02T17:30:00Z,59110,59150,59073,59141
2021-04-02T17:35:00Z,59140.8348468,59142,59115.43270356,59142
2021-04-02T17:40:00Z,59142,59142,59127,59142
2021-04-02T17:45:00Z,59134,59134,59095,59100
2021-04-02T17:50:00Z,59099,59228,59020,59151
2021-04-02T17:55:00Z,59130,59177,59130,59177
2021-04-02T18:00:00Z,59177,59200.18835488,59088,59088
2021-04-02T18:05:00Z,59088,59173,59052,59161
2021-04-02T18:10:00Z,59161,59325,59161,59261
2021-04-02T18:15:00Z,59260,59273,59221,59250
2021-04-02T18:20:00Z,59250.180821,59250.180821,59200,59200
2021-04-02T18:25:00Z,59200,59200,59163,59187
2021-04-02T18:30:00Z,59185,59185,59143,59164
2021-04-02T18:35:00Z,59164,59169,59099.172507,59122
2021-04-02T18:40:00Z,59122,59174,59121,59122
2021-04-02T18:45:00Z,59121,59121,59057.781466,59058
2021-04-02T18:50:00Z,59058,59089,59010,59089
2021-04-02T18:55:00Z,59089,59089,59085,59086
2021-04-02T19:00:00Z,59085,59085,58982,58993
2021-04-02T19:05:00Z,58994,58994,58550,58691
2021-04-02T19:10:00Z,58690,58789,58678,58766
2021-04-02T19:15:00Z,58766,58854,58724,58843
2021-04-02T19:20:00Z,58850,58853,58761,58831
2021-04-02T19:25:00Z,58823,58939,58812.87699592,58840
2021-04-02T19:30:00Z,58819,58831,58762,58805
2021-04-02T19:35:00Z,58805,58911,58803,58874
2021-04-02T19:40:00Z,58874,58967,58845,58954.71826503
2021-04-02T19:45:00Z,58954.71826503,58968,58890,58920
2021-04-02T19:50:00Z,58920,58923,58811,58882
2021-04-02T19:55:00Z,58876,58882,58841,58851
2021-04-02T20:00:00Z,58841,58855,58761,58829.797312
2021-04-02T20:05:00Z,58830,58923,58830,58910.397585
2021-04-02T20:10:00Z,58915,58948,58849.4054022,58934
2021-04-02T20:15:00Z,58948.20537189,58955,58834,58873
2021-04-02T20:20:00Z,58879,58882,58775,58786
2021-04-02T20:25:00Z,58786,58799,58785,58785
2021-04-02T20:30:00Z,58784.71564194,58842,58688,58841
2021-04-02T20:35:00Z,58842,58914,58800,58805
2021-04-02T20:40:00Z,58806,58816,58762,58766
2021-04-02T20:45:00Z,58766,58793,58600,58618.116414
2021-04-02T20:50:00Z,58618,58684.7390402,58580,58664
2021-04-02T20:55:00Z,58664,58712,58568.9595372,58641
